charge,violent,drug,etoh,dui
"drunken driving",,,,1
"public intoxication",,,1,
"possession of a controlled substance",,1,,
"underage possession of alcohol",,,1,
"possession of marijuana",,1,,
"driving while barred",,,,
"driving while license suspended or cancelled",,,,
"assault causing injury",1,,,
"driving while license revoked",,,,
"second-offense owi",,,,1
"disorderly conduct",,,1,
"interference with official acts",,,,
"domestic abuse",1,,,
"fifth-degree theft",,,,
"third-degree theft",,,,
"fourth-degree theft",,,,
"disorderly house",,,,
"domestic assault",1,,,
"controlled substance violation",,1,,
"possession of drug paraphernalia",,1,,
"second-degree theft",,,,
"possess fictitious drivers license or id",,,1,
"child endangerment or abuse with no injury",,,,
"third-degree burglary",,,,
"criminal trespass",,,,
"unlawful use of anothers authentic drivers license or id",,,1,
"permit gatherings to use controlled substances",,1,,
"third and subsequent owi",,,,1
"fourth degree criminal mischief",,,,
"iowa drug tax stamp violation",,1,,
theft,,,,
"possession of prescription drugs",,1,,
"possession of a schedule i controlled substance",,1,,
"presence on premise of a licensed liquor establishment after hours",,,1,
"assault on police or fire or emt personnel",1,,,
"forgery by check or document",,,,
"possession of an open container alcohol in public",,,1,
"domestic assault with serious injury",1,,,
assault,1,,,
"third degree criminal mischief",,,,
"first-degree burglary",,,,
"assault a peace officer with intent to injure",1,,,
"possession of marijuana with intent to deliver",,1,,
"simple assault",1,,,
"second degree criminal mischief",,,,
"violate no-contact or domestic abuse protective order",,,,
"unauthorized use of a credit card",,,,
"second-degree robbery",,,,
"public urination",,,1,
"obstruct officer",,,,
"second-degree burglary",,,,
"fifth degree criminal mischief",,,,
"first-degree harassment",,,,
"third and subsequent public intoxication",,,1,
"interference with official acts causing injury",1,,,
"warrant served",,,,
"eluding pursuing law enforcement",,,,
"going armed with intent",1,,,
"assault causing serious injury",1,,,
"assault with a dangerous weapon",1,,,
"carrying weapons",1,,,
"identity theft",,,,
"first-degree robbery",,,,
"first-degree theft",,,,
harassment,,,,
"third-degree harassment",,,,
"possession of cocaine",,1,,
"operate without owners consent",,,,
"false imprisonment",,,,
"possession of a schedule i controlled substance with intent to deliver",,1,,
"second-offense domestic assault",1,,,
"fraudulent criminal acts using a credit card",,,,
"false reports to law enforcement",,,,
"possession of stolen property",,,,
"obstruct emergency communication",,,,
"possession of a schedule ii controlled substance",,1,,
"possess firearms as a felon",1,,,
"willful injury causing serious injury",1,,,
"underage use of tobacco products",,,,
"forgery by credit card",,,,
